Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
1,AI Engineer ,    Procter & Gamble  ( P&G ),3 - 6 yrs,,Mumbai,"P & G was founded over 180 years ago as a simple soap and candle company. Today ,  we're the worlds largest consumer goods company and home to iconic ,  trusted brands that ma","algorithms  ,  information technology  ,  artificial intelligence  ,  sql  ,  devops  ,  software engineering  ,  business applications  ,  python  ,  cloud services  ,  machine learning  ,  soap"
2,AI Engineer ,    Intel Technologies,5 - 8 yrs,,Bengaluru / Bangalore,"AI Engineer Job DescriptionIntel Emergent AI Research Lab is creating the next generation of AI systems ,  pushing the boundaries of research and technology to produce a posit","c    ,  software engineering  ,  image processing  ,  machine learning  ,  computer graphics  ,  written communication  ,  infrastructure"
3,AI Engineer ,    ikomet Technology Solutions Pvt. Ltd.,0 - 3 yrs,,Chennai,"AI EngineerWork Location: ChennaiRequired Experience: 3 - 5Job Description:Understand the business problem ,  challenge of existing technologies and areas of application for A","algorithms  ,  python  ,  os  ,  machine learning  ,  infrastructure  ,  linux  ,  opencv"
4,AI Engineer ,    innovation incubator advisory,0 - 3 yrs,,Thiruvananthapuram,Develop custom data models and algorithms to apply to data sets.Strong problem solving skills with an emphasis on product development.Experience using statistical computer lan,"algorithms  ,  python  ,  problem solving  ,  sql"
5,      Senior Principal AI Engineer ,    Intel Technology India Pvt Ltd,15 - 18 yrs,,Bengaluru / Bangalore,Senior Principal AI Engineer Job DescriptionPrincipal Engineers at the senior level at Intel that are active technical leaders inside and outside the company. Activities inclu,"Deep technical  ,  Principal AI Engineer  ,  Data Analysis"
6,AI Engineer / Specialist ,    taylor & francis group,5 - 8 yrs,,Bengaluru / Bangalore,The role of AI Engineer will join our team of technologists responsible for incubating new and novel software / data initiatives that drive growth and explore new markets for ,"algorithms  ,  c    ,  storage  ,  sql  ,  java  ,  python  ,  c  ,  natural language processing  ,  director  ,  microsoft azure  ,  problem solving  ,  machine learning"
7,      Lead AI Engineer ,    TARGET,3 - 6 yrs,,Bengaluru / Bangalore,This role is with Targets Search team which uses AI to power search on target.com. The Search team builds the core relevance engine and products that power Targets digital exp,"algorithms  ,  hql  ,  artificial intelligence  ,  sql  ,  java  ,  devops  ,  python  ,  information retrieval  ,  mobile  ,  machine learning"
8,"AI Engineer Bangalore ,  KA ",    Intel Technology India Pvt Ltd,5 - 8 yrs,,Bengaluru / Bangalore,"Job ID: JR0209962AI Engineer Job DescriptionIntel Emergent AI Research Lab is creating the next generation of AI systems ,  pushing the boundaries of research and technology t","c    ,  software engineering  ,  image processing  ,  machine learning  ,  computer graphics  ,  written communication  ,  infrastructure"
9,      Sr. AI-ML Engineer  /  AI-ML Engineer ,    L and T Technology Services,4 - 7 yrs,,Mysoru / Mysore,The Person will be responsible for leading the Medical Imaging and AI  /  ML CoE which is part of Medical Devices  &  Life Sciences  ( MDLS )  business. The position is a tech,"c    ,  software engineering  ,  itk  ,  python  ,  machine learning  ,  opengl  ,  opencv"
10,AI / ML Engineer ,    TECHNOPARK TRIVANDRUM,0 - 3 yrs,,Thiruvananthapuram,"""We are a global software solutions firm providing the full life cycle of capabilities from strategy through development ,  testing ,  maintenance and outsourcing. Techversant","artificial intelligence  ,  java  ,  software engineering  ,  moodle  ,  image processing  ,  python  ,  natural language processing  ,  machine learning  ,  javascript  ,  ruby  ,  php"
